id,priloznost
001,None
002,None
003,None
010,None
011,None
012,None
013,None
014,None
015,None
016,None
017,None
018,None
019,None
020,None
021,None
022,None
023,None
024,None
025,None
026,None
027,None
028,None
029,None
030,None
031,None
032,None
033,None
034,None
035,None
036,None
037,None
038,None
039,None
040,None
041,None
045,None
046,None
047,None
049,božiè; novo leto; piknik; valentinovo
050,None
052,None
053,None
055,None
058,None
061,martinovo
062,martinovo
063,None
065,None
066,None
069,None
072,None
073,None
074,None
075,None
076,None
081,None
083,None
084,None
085,None
086,None
087,None
089,velika noè
091,None
092,None
096,None
097,None
099,None
100,None
101,None
102,None
105,None
107,None
108,None
109,None
110,None
111,None
115,None
116,None
119,None
120,None
121,None
124,None
125,None
126,None
127,None
128,None
129,valentinovo
130,None
131,None
132,None
135,None
136,martinovo
137,None
140,None
141,None
146,None
151,None
152,None
153,None
155,None
156,None
160,None
161,None
162,martinovo
163,None
164,None
165,None
166,None
168,None
173,None
174,None
177,None
180,None
181,None
182,None
183,None
184,None
185,None
186,None
188,None
189,None
190,None
191,None
193,None
195,None
198,None
199,None
202,None
203,None
204,None
206,None
207,None
208,None
209,None
210,None
211,None
212,None
213,None
214,None
215,None
216,None
217,None
218,None
219,None
220,None
221,None
222,None
223,None
224,None
225,None
226,None
228,None
229,None
230,None
233,None
234,None
235,None
236,None
237,None
238,None
239,None
240,velika noè
241,None
242,None
243,None
244,None
245,None
246,None
247,None
249,None
250,None
251,velika noè
252,None
253,None
255,None
256,None
257,None
258,božiè; novo leto; piknik; rojstni dan otroka
259,None
260,None
262,None
264,None
265,None
266,None
267,None
268,None
269,None
270,None
272,None
273,None
275,None
276,None
278,None
279,None
280,None
281,None
282,None
284,None
285,None
286,None
287,None
290,None
291,None
292,None
293,None
299,None
300,None
301,valentinovo; rojstni dan otroka
302,None
304,None
305,None
306,None
307,None
309,None
310,None
311,None
312,None
313,None
314,None
316,None
317,None
319,None
320,None
322,None
323,None
330,None
331,None
333,pust
334,None
339,None
341,None
342,None
344,None
346,None
348,None
350,pust
351,None
355,None
356,None
359,None
360,None
361,None
362,None
363,None
364,None
366,None
367,None
370,None
377,None
378,božiè; velika noè; novo leto
379,None
380,valentinovo; novo leto
381,None
384,None
385,None
387,None
388,pust
389,None
390,None
393,None
395,None
396,None
397,None
400,None
303,božiè; novo leto; miklavževo
373,božiè; novo leto; piknik; rojstni dan otroka; miklavževo
386,novo leto; valentinovo
