id,cas_priprave
001,ni doloèen
002,ni doloèen
003,ni doloèen
010,ni doloèen
011,ni doloèen
012,ni doloèen
013,ni doloèen
014,ni doloèen
015,ni doloèen
016,ni doloèen
017,ni doloèen
018,ni doloèen
019,ni doloèen
020,ni doloèen
021,ni doloèen
022,ni doloèen
023,ni doloèen
024,ni doloèen
025,ni doloèen
026,ni doloèen
027,ni doloèen
028,ni doloèen
029,ni doloèen
030,ni doloèen
031,ni doloèen
032,ni doloèen
033,ni doloèen
034,ni doloèen
035,ni doloèen
036,ni doloèen
037,ni doloèen
038,ni doloèen
039,ni doloèen
040,ni doloèen
041,ni doloèen
042,ni doloèen
043,ni doloèen
044,ni doloèen
045,ni doloèen
046,ni doloèen
047,ni doloèen
048,ni doloèen
049,ni doloèen
050,ni doloèen
052,ni doloèen
053,ni doloèen
054,ni doloèen
055,ni doloèen
056,ni doloèen
057,ni doloèen
058,ni doloèen
059,ni doloèen
060,ni doloèen
061,ni doloèen
062,ni doloèen
063,ni doloèen
064,ni doloèen
065,ni doloèen
066,ni doloèen
067,ni doloèen
068,ni doloèen
069,ni doloèen
070,ni doloèen
071,ni doloèen
072,ni doloèen
073,ni doloèen
074,ni doloèen
075,ni doloèen
076,ni doloèen
077,ni doloèen
078,ni doloèen
079,ni doloèen
080,ni doloèen
081,ni doloèen
082,ni doloèen
083,ni doloèen
084,ni doloèen
085,ni doloèen
086,ni doloèen
087,30 minut
088,ni doloèen
089,ni doloèen
090,ni doloèen
091,ni doloèen
092,ni doloèen
093,ni doloèen
094,ni doloèen
095,ni doloèen
096,ni doloèen
097,ni doloèen
098,ni doloèen
099,ni doloèen
100,ni doloèen
101,ni doloèen
102,ni doloèen
103,ni doloèen
104,ni doloèen
105,ni doloèen
106,ni doloèen
107,ni doloèen
108,ni doloèen
109,ni doloèen
110,ni doloèen
111,ni doloèen
113,ni doloèen
114,ni doloèen
115,ni doloèen
116,ni doloèen
117,ni doloèen
118,ni doloèen
119,ni doloèen
120,ni doloèen
121,ni doloèen
122,ni doloèen
123,ni doloèen
124,ni doloèen
125,ni doloèen
126,ni doloèen
127,ni doloèen
128,ni doloèen
129,ni doloèen
130,ni doloèen
131,ni doloèen
132,ni doloèen
133,ni doloèen
134,ni doloèen
135,ni doloèen
136,ni doloèen
137,ni doloèen
138,ni doloèen
139,ni doloèen
140,ni doloèen
141,60 minut
142,ni doloèen
143,ni doloèen
144,ni doloèen
145,ni doloèen
146,ni doloèen
147,ni doloèen
148,ni doloèen
149,ni doloèen
150,ni doloèen
151,ni doloèen
152,ni doloèen
153,ni doloèen
155,ni doloèen
156,ni doloèen
157,ni doloèen
158,ni doloèen
159,ni doloèen
160,ni doloèen
161,ni doloèen
162,ni doloèen
163,ni doloèen
164,ni doloèen
165,ni doloèen
166,ni doloèen
167,ni doloèen
168,ni doloèen
169,ni doloèen
170,ni doloèen
171,ni doloèen
172,ni doloèen
173,ni doloèen
174,ni doloèen
175,ni doloèen
176,ni doloèen
177,ni doloèen
178,ni doloèen
179,ni doloèen
180,ni doloèen
181,ni doloèen
182,ni doloèen
183,ni doloèen
184,ni doloèen
185,ni doloèen
186,ni doloèen
187,ni doloèen
188,ni doloèen
189,ni doloèen
190,ni doloèen
191,ni doloèen
192,ni doloèen
193,ni doloèen
194,ni doloèen
195,ni doloèen
196,ni doloèen
197,ni doloèen
198,ni doloèen
199,ni doloèen
200,ni doloèen
201,ni doloèen
202,ni doloèen
203,ni doloèen
204,ni doloèen
205,ni doloèen
206,ni doloèen
207,ni doloèen
208,ni doloèen
209,ni doloèen
210,ni doloèen
211,ni doloèen
212,ni doloèen
213,ni doloèen
214,ni doloèen
215,ni doloèen
216,ni doloèen
217,ni doloèen
218,ni doloèen
219,ni doloèen
220,ni doloèen
221,ni doloèen
222,ni doloèen
223,ni doloèen
224,ni doloèen
225,ni doloèen
226,ni doloèen
227,ni doloèen
228,ni doloèen
229,ni doloèen
230,ni doloèen
232,ni doloèen
233,ni doloèen
234,ni doloèen
235,ni doloèen
236,ni doloèen
237,ni doloèen
238,ni doloèen
239,ni doloèen
240,ni doloèen
241,ni doloèen
242,ni doloèen
243,ni doloèen
244,ni doloèen
245,ni doloèen
246,ni doloèen
247,ni doloèen
248,ni doloèen
249,ni doloèen
250,ni doloèen
251,ni doloèen
252,ni doloèen
253,ni doloèen
254,ni doloèen
255,ni doloèen
256,ni doloèen
257,ni doloèen
258,ni doloèen
259,ni doloèen
260,ni doloèen
261,ni doloèen
262,ni doloèen
263,ni doloèen
264,ni doloèen
265,ni doloèen
266,ni doloèen
267,ni doloèen
268,ni doloèen
269,ni doloèen
270,ni doloèen
272,ni doloèen
273,ni doloèen
274,ni doloèen
275,ni doloèen
276,ni doloèen
277,ni doloèen
278,ni doloèen
279,ni doloèen
280,ni doloèen
281,ni doloèen
282,ni doloèen
283,ni doloèen
284,ni doloèen
285,ni doloèen
286,ni doloèen
287,ni doloèen
288,ni doloèen
290,ni doloèen
291,ni doloèen
292,ni doloèen
293,ni doloèen
294,ni doloèen
295,ni doloèen
296,ni doloèen
297,ni doloèen
298,ni doloèen
299,ni doloèen
300,ni doloèen
301,60 minut
302,ni doloèen
303,ni doloèen
304,ni doloèen
305,ni doloèen
306,ni doloèen
307,ni doloèen
308,ni doloèen
309,ni doloèen
310,ni doloèen
311,ni doloèen
312,ni doloèen
313,ni doloèen
314,ni doloèen
315,ni doloèen
316,ni doloèen
317,ni doloèen
318,ni doloèen
319,ni doloèen
320,ni doloèen
321,ni doloèen
322,ni doloèen
323,ni doloèen
324,ni doloèen
325,ni doloèen
326,ni doloèen
327,ni doloèen
328,ni doloèen
329,ni doloèen
330,ni doloèen
331,ni doloèen
332,ni doloèen
333,ni doloèen
334,ni doloèen
338,ni doloèen
339,ni doloèen
340,ni doloèen
341,ni doloèen
342,ni doloèen
343,ni doloèen
344,ni doloèen
345,ni doloèen
346,ni doloèen
347,ni doloèen
348,ni doloèen
349,ni doloèen
350,ni doloèen
351,ni doloèen
352,ni doloèen
353,ni doloèen
354,ni doloèen
355,ni doloèen
356,ni doloèen
358,ni doloèen
359,ni doloèen
360,ni doloèen
361,ni doloèen
362,ni doloèen
363,ni doloèen
364,ni doloèen
365,ni doloèen
366,ni doloèen
367,ni doloèen
368,ni doloèen
369,ni doloèen
370,ni doloèen
371,ni doloèen
373,ni doloèen
374,ni doloèen
375,ni doloèen
376,ni doloèen
377,ni doloèen
378,180 minut
379,ni doloèen
380,60 minut
381,ni doloèen
383,ni doloèen
384,ni doloèen
385,ni doloèen
386,ni doloèen
387,ni doloèen
388,ni doloèen
389,ni doloèen
390,ni doloèen
391,ni doloèen
392,ni doloèen
393,75 minut
394,ni doloèen
395,ni doloèen
396,ni doloèen
397,ni doloèen
398,ni doloèen
399,ni doloèen
400,90 minut
